Company Name,# Employees,Website,Company Linkedin Url
Holloway Recruitment,1,http://www.hollowayrecruitment.com,http://www.linkedin.com/company/holloway-recruitment
OCC Group,50,http://www.occgroup.co.uk,http://www.linkedin.com/company/occ-group-ltd
Next Ventures,160,http://www.next-ventures.com,http://www.linkedin.com/company/next-ventures
MAM Gruppe,120,http://www.mamgruppe.com,http://www.linkedin.com/company/mam-gruppe
Daniel Ernest,2,http://www.danielernest.com,http://www.linkedin.com/company/daniel-ernest
Optarise Global,2,http://www.optarise-global.com,http://www.linkedin.com/company/optarise-global
Priya IT Recruitment Services UK,1,http://www.priya-services.co.uk,http://www.linkedin.com/company/priya-it-recruitment-services-uk
The Other Recruiter Ltd,1,http://www.theotherrecruiter.com,http://www.linkedin.com/company/the-other-recruiter-ltd
McManus Ford,2,http://www.mcmanusford.com,http://www.linkedin.com/company/mcmanus-ford
Albert Leroy | The SuccessFactors Recruitment Specialists,1,http://www.albertleroy.com,http://www.linkedin.com/company/albert-leroy-ltd
Harper Stephenson Search,5,http://www.harperstephenson.co.uk,http://www.linkedin.com/company/harper-stephenson-search
Focus Cloud Group,99,http://www.focuscloud.org,http://www.linkedin.com/company/focus-cloud-group
Hunter Solutions,9,http://www.huntersolutions.io,http://www.linkedin.com/company/hunter-solutions
Kingswood Hart,2,,http://www.linkedin.com/company/kingswood-hart
Ateca Consulting,42,http://www.atecaconsulting.com,http://www.linkedin.com/company/ateca-consulting
Joy Recruitment Ltd,22,,http://www.linkedin.com/company/joy-recruitment-ltd
Davenport Resourcing Limited,12,http://www.davenportresourcing.com,http://www.linkedin.com/company/davenport-resourcing-limited
JBR Associates Ltd,7,http://www.jbrassociates.co.uk,http://www.linkedin.com/company/jbr-associates-ltd
ITrecruitment365,7,http://www.itrecruitment365.com,http://www.linkedin.com/company/itrecruitment365
Cognitive Group | Part of the Focus Cloud Group,37,http://www.focuscloudgroup.org,http://www.linkedin.com/company/cognitive-group
Henderson Drake,18,http://www.hendersondrake.com,http://www.linkedin.com/company/henderson-drake
